snt_id	term	definition	positive	negative
M20_52_2	musculoskeletal impairment	Musculoskeletal impairment refers to conditions affecting the body's musculoskeletal system, involving bones, muscles, joints, ligaments, and tendons. These disorders lead to functional limitations, pain, and reduced mobility, impacting daily activities and overall well-being.	Musculoskeletal impairment refers to a condition that affects the muscles, bones, tendons, ligaments, and other supporting structures of the body.|Individuals with musculoskeletal impairments may experience limitations in movement, pain, or other physical challenges due to the impact on their musculoskeletal system.	The wearable device was designed to monitor various physical parameters, including heart rate, body temperature, and musculoskeletal impairment indicators.|The study focused on the impact of virtual reality rehabilitation on patients with musculoskeletal impairment following orthopedic surgeries.|Researchers investigated the relationship between workplace ergonomics and the prevalence of musculoskeletal impairment among office workers.|The robotic exoskeleton was developed to assist individuals with musculoskeletal impairment in performing daily activities.
M20_52_2	muscle mass	Muscle mass refers to the total weight of skeletal muscles in the body, encompassing both lean and fat components. It signifies the overall quantity of muscle tissue and plays a crucial role in physical performance and metabolic health.	Muscle mass refers to the amount of muscle tissue in the body, which contributes to overall strength, mobility, and metabolic health.|Maintaining adequate muscle mass is important for supporting proper posture, movement, and the body's ability to perform physical tasks.	The study investigated the relationship between dietary patterns and muscle mass in older adults to understand the impact of nutrition on muscle health.|Athletes often focus on increasing muscle mass to enhance their performance in competitive sports and reduce the risk of injury.|The wearable fitness tracker provides real-time data on heart rate, steps taken, and muscle mass changes during exercise.|The research aimed to identify genetic factors associated with variations in muscle mass among individuals of different ethnicities.
M20_52_3	resistance training	Resistance training, or strength training, involves exercises utilizing external resistance to induce muscle contraction, promoting strength, endurance, and hypertrophy. It encompasses methods such as weightlifting, resistance bands, or bodyweight exercises to enhance muscular fitness.	Resistance training refers to a form of physical activity that is designed to improve muscular fitness by exercising a muscle or a muscle group against external resistance.|In resistance training, the external resistance can come from free weights, weight machines, elastic bands, or even the individual's own body weight.	The study aims to evaluate the impact of resistance training on muscle strength and functional capacity in elderly individuals.|Resistance training has been shown to have positive effects on bone mineral density, especially in postmenopausal women.|The participants were divided into two groups, with one group receiving resistance training and the other receiving no specific exercise intervention.|The research investigates the relationship between resistance training and cognitive function in older adults.
M13_45_6	Resistance training	resistance training is physical training that utilizes isometric, isotonic, or isokinetic exercise to strengthen or develop the muscles	Resistance training refers to a form of physical activity that is designed to improve muscular fitness by exercising a muscle or a muscle group against external resistance.|In resistance training, the external resistance can come from free weights, weight machines, elastic bands, or even the individual's own body weight.	The study aims to evaluate the impact of resistance training on muscle strength and functional capacity in elderly individuals.|Resistance training has been shown to have positive effects on bone mineral density, especially in postmenopausal women.|The participants were divided into two groups, with one group receiving resistance training and the other receiving no specific exercise intervention.|The research investigates the relationship between resistance training and cognitive function in older adults.
M20_52_3	skeletal muscle function deficit	Skeletal muscle function deficit refers to an impairment in the ability of voluntary striated muscles to generate force and perform essential movements, often resulting from factors such as injury, neuromuscular disorders, or age-related decline.	Skeletal muscle function deficit is a condition characterized by impaired muscular performance, reduced strength, and compromised motor function.|Individuals with skeletal muscle function deficit may experience difficulty in performing daily activities that require physical exertion.	A new study examines the role of nutritional interventions in preventing skeletal muscle function deficit in aging populations.|The research investigates the correlation between skeletal muscle function deficit and metabolic disorders such as diabetes and obesity.|The study aims to identify genetic markers associated with skeletal muscle function deficit in athletes.|Skeletal muscle function deficit is often a focus in rehabilitation programs for patients recovering from orthopedic injuries.
M20_52_3	functional mobility	Functional mobility refers to an individual's capacity to move safely and efficiently in various environments, encompassing activities such as walking, transferring, and navigating obstacles. It reflects the integration of strength, balance, and coordination for daily tasks.	Functional mobility refers to the ability of a system or device to adapt and change its configuration or behavior in response to the surrounding environment or user requirements.|In computer science, functional mobility is the capability of software applications or systems to seamlessly transition between different devices or platforms while maintaining full functionality.	The study aimed to investigate the impact of wearable devices on the functional mobility of elderly individuals.|The research paper discussed the correlation between functional mobility and user experience in mobile app design.|The conference presentation highlighted the role of functional mobility in the development of responsive web applications.
M20_52_4	clinician	A clinician is a healthcare professional, typically a physician, nurse, or therapist, engaged in direct patient care, diagnosis, treatment, and management of medical conditions. Clinicians utilize medical knowledge and practical skills to deliver patient-centered healthcare	A clinician is a healthcare professional, such as a doctor or nurse, who is directly involved in patient care, diagnosis, and treatment.|In computer science, a clinician may be involved in the development of medical software, digital health platforms, or telemedicine applications to improve patient care and clinical workflows.	The clinician's expertise and experience are crucial in determining the most effective treatment plan for the patient.|The role of a clinician in a multidisciplinary healthcare team is to provide specialized medical knowledge and contribute to the holistic care of patients.|The study analyzed the communication patterns between clinicians and patients in virtual healthcare consultations.
M20_52_5	static balance	Static balance refers to the ability to maintain postural stability and equilibrium during stationary positions, crucial for preventing falls. It involves the integration of sensory input and musculoskeletal control.	Static balance refers to the distribution of weight in a stationary or unmoving system, where the center of mass remains fixed and does not change over time.|In software development, static balance is achieved when the allocation of resources and memory usage is optimized at compile time, ensuring efficient execution of the program.	The static balance of the software system needs to be considered in relation to the dynamic balance to ensure optimal performance.|When discussing the performance of algorithms, the concept of static balance often arises in comparison to dynamic balance, highlighting the trade-offs between the two approaches.
M20_52_5	dynamic balance	dynamic balance refers to the ability to maintain stability and control during movement or activities. It involves the coordination of sensory input, muscular function, and spatial awareness to prevent falls and enhance mobility.	Dynamic balance is the ability of a system to distribute its weight and adjust its center of mass while in motion or undergoing changes over time.|In software engineering, dynamic balance is crucial for real-time systems to adapt to varying workloads and resource demands during runtime.	The dynamic balance of the system becomes more critical when dealing with unpredictable changes in the input data, impacting the overall performance of the application.|When optimizing the performance of a distributed system, the dynamic balance of data allocation and task scheduling plays a pivotal role in achieving scalability and fault tolerance.
M24_56_4	clinical trial	A clinical trial is a research study involving human participants to evaluate the safety and efficacy of medical interventions, such as drugs or procedures. These trials follow a structured protocol, aiming to generate evidence for healthcare decision-making.	A clinical trial is a research study that involves human volunteers and is designed to answer specific questions about the safety and effectiveness of new treatments, therapies, or medical devices.|In a clinical trial, researchers investigate the effects of a new medical approach on a group of volunteers to evaluate the outcomes and potential side effects.	The dataset used in the computer science study was obtained from a clinical trial that focused on the effects of a specific drug on patients with a certain condition.|The algorithm's predictions were validated using data from a large-scale clinical trial conducted by a pharmaceutical company.|The computational model was trained on data from a clinical trial involving cancer patients to predict the response to different treatment regimens.|The clinical trial results showed promising outcomes for the experimental drug, leading to its approval by regulatory authorities.
G04.2_2415325177_1	next generation sequencing	Next generation sequencing is a scientific procedure in which the sequencing technologies allow the massive parallel sequencing of DNA.	Next generation sequencing refers to high-throughput DNA sequencing technologies that enable the rapid sequencing of millions of DNA fragments simultaneously, allowing for the analysis of entire genomes.|NGS technologies have revolutionized genomics research by providing cost-effective and efficient methods for sequencing DNA and RNA samples at unprecedented speed and scale.	The bioinformatics pipeline utilized in the study involved processing and analyzing data generated from next generation sequencing to identify genetic variants associated with the disease.|The research team used next generation sequencing to characterize the microbial community composition in environmental samples collected from different ecosystems.|The study employed a combination of next generation sequencing and metagenomic analysis to study the genetic diversity of microbial populations in soil samples.|The application of next generation sequencing has led to significant advancements in the field of personalized medicine and precision oncology.
G04.2_2415325177_2	subsequent bioinformatic analysis	Subsequent bioinformatic analysis is the computational and analytical process that follows the generation of biological data.	Following the acquisition of NGS data, subsequent bioinformatic analysis involves the application of computational techniques to process, interpret, and extract meaningful information from the raw sequencing data.|Subsequent bioinformatic analysis plays a crucial role in identifying genetic variants, gene expression patterns, and functional elements within the sequenced DNA or RNA samples.	The study focused on the experimental validation of candidate genes identified through subsequent bioinformatic analysis, confirming their potential roles in disease pathology.|The research project integrated subsequent bioinformatic analysis with structural biology techniques to predict the three-dimensional structure of a novel protein.|The application of subsequent bioinformatic analysis revealed potential regulatory networks and pathways associated with the observed gene expression changes in the experimental data.|Subsequent bioinformatic analysis of the NGS data highlighted the presence of specific genetic mutations linked to drug resistance in the patient samples.
G11.1_2794850674_1	lab automation drone	Lab automation drone is a drone designed to automate certain tasks within a laboratory or research environment.	A lab automation drone is a robotic device designed to autonomously carry out tasks in a laboratory setting, such as sample handling, data collection, and equipment transportation.|Lab automation drones are equipped with advanced sensors and intelligent algorithms to navigate through laboratory environments and perform repetitive tasks with high precision.	The research facility is exploring the use of lab automation drones to streamline the sample transportation process within the laboratory.|Lab automation drones have the potential to revolutionize the efficiency of laboratory workflows by automating routine tasks and optimizing resource utilization.
G11.1_2794850674_2	robotic rotorcraft	A robotic rotorcraft is an aircraft that uses lift generated by rotor blades to achieve vertical takeoff and landing.	A robotic rotorcraft refers to an unmanned aerial vehicle (UAV) equipped with rotary wings or rotors to achieve lift and propulsion.|Robotic rotorcraft are commonly used for aerial surveillance, search and rescue missions, environmental monitoring, and aerial photography.	The team is investigating the use of robotic rotorcraft for precision agriculture applications, such as crop monitoring and analysis.|Robotic rotorcraft have the potential to revolutionize the field of aerial transportation and logistics due to their versatility and maneuverability.
G11.1_2794850674_3	unmanned aerial vehicle	An unmanned aerial vehicle is an aircraft that operates without a human pilot or crew onboard.	An unmanned aerial vehicle (UAV) is an aircraft without a human pilot on board.|Unmanned aerial vehicles are commonly used for military and special operation applications, but also increasingly for civil applications, such as policing and firefighting.	The use of unmanned aerial vehicles in military operations has raised ethical and legal concerns regarding civilian casualties and privacy violations.|The development of advanced sensors and communication systems has significantly enhanced the capabilities of unmanned aerial vehicles in surveillance and reconnaissance missions.
G11.1_2892036907_2	Unmanned aerial vehicle	an Unmanned Aerial Vehicle is a powered, aerial vehicle that does not carry a human operator, uses aerodynamic forces to provide vehicle lift, can fly autonomously or be piloted remotely, can be expendable or recoverable, and can carry a lethal or nonlethal payload	An unmanned aerial vehicle (UAV) is an aircraft without a human pilot on board.|Unmanned aerial vehicles are commonly used for military and special operation applications, but also increasingly for civil applications, such as policing and firefighting.	The use of unmanned aerial vehicles in military operations has raised ethical and legal concerns regarding civilian casualties and privacy violations.|The development of advanced sensors and communication systems has significantly enhanced the capabilities of unmanned aerial vehicles in surveillance and reconnaissance missions.
G11.1_2794850674_3	microarray	A microarray is a laboratory tool to simultaneously analyze the expression levels of a large number of genes or multiple regions of a genome.	A microarray is a laboratory tool used to detect the expression of thousands of genes at the same time.|Microarray technology allows researchers to analyze the expression of genes, proteins, or other molecules in a highly parallel fashion.	The microarray data revealed a significant upregulation of specific genes in response to the treatment, indicating a potential therapeutic target.|The use of microarray analysis has provided valuable insights into the genetic mechanisms underlying complex diseases such as cancer and neurodegenerative disorders.
G11.1_2794850674_3	high throughput systems	A high throughput system is the use of many computing resources over long periods of time to accomplish a computational task.	High throughput systems refer to computing systems or processes that are capable of handling a large volume of data or tasks in a relatively short amount of time.|High throughput systems are designed to efficiently process a high volume of tasks or data, often used in scenarios such as data mining, scientific simulations, and large-scale analytics.	The application of high throughput systems in bioinformatics has revolutionized the analysis of large-scale biological data, enabling the rapid processing of genetic sequences and protein structures for research purposes.|High throughput systems have become essential in the field of financial technology, allowing for the quick execution of high-frequency trading algorithms to capitalize on market opportunities.
G11.1_2794850674_3	HTS	A high throughput system is the use of many computing resources over long periods of time to accomplish a computational task.	HTS, short for high throughput screening, is a method used in drug discovery and biology to quickly test the biological or biochemical activity of a large number of compounds or genetic material.|HTS involves the automated testing of thousands to millions of compounds or genetic variations to identify those with specific properties or activities.	The integration of HTS with computational modeling has significantly accelerated the process of drug discovery, allowing for the rapid identification of potential drug candidates for further testing and development.|HTS techniques have been widely applied in the field of personalized medicine, enabling the efficient screening of patient-specific genetic variations to determine optimal treatment strategies.
G11.1_2794850674_5	6 degree-of-freedom arm	A 6 degree-of-freedom arm is a robotic arm that has the ability to move in six different directions.	A 6 degree-of-freedom arm refers to a robotic arm that has the capability to move in six different directions or axes, including up/down, left/right, forward/backward, pitch, yaw, and roll.|In robotics, a 6 degree-of-freedom arm is a type of mechanical arm that provides six independent parameters to define its configuration.	The robot used in the assembly line has a 6 degree-of-freedom arm that allows it to precisely position components during the manufacturing process.|The 6 degree-of-freedom arm of the robotic exoskeleton enables natural and flexible movement for the wearer.|Researchers conducted an experiment to evaluate the accuracy of a 6 degree-of-freedom arm in a simulated industrial environment.|The 6 degree-of-freedom arm of the robotic surgical system offers enhanced dexterity and precision for delicate surgical procedures.
G11.1_2794850674_5	DOF	Degrees of freedom are the maximum number of logically independent values in a data sample.	DOF, which stands for Degrees of Freedom, refers to the number of independent parameters or variables that can be changed to describe the state of a physical system.|In computer graphics, DOF is used to create a blurred effect in images by simulating the way a camera focuses on objects.	The researchers conducted an analysis of the system's DOF to understand its behavior under varying conditions.|The software engineer adjusted the DOF settings to improve the visual quality of the rendered images.
G11.1_2794850674_6	test-and-evaluation approach	The test-and-evaluation approach is a methodology used to assess the performance, capabilities, and characteristics of a system, product or process.	A test-and-evaluation approach involves systematically testing and evaluating the performance, functionality, and reliability of a software system or application.|The test-and-evaluation approach aims to identify and rectify any defects or issues in the software before its release.	The team discussed the need for a comprehensive test-and-evaluation approach to ensure the software meets the required quality standards.|The project manager emphasized the importance of integrating a test-and-evaluation approach into the software development lifecycle.
G06.2_2805209921_1	deep learning	Deep learning is the set of machine learning methods based on artificial neural networks with representation learning.	Deep learning is a subset of machine learning in artificial intelligence (AI) that has networks capable of learning from data. |Deep learning is a type of machine learning algorithm that uses multiple layers to progressively extract higher-level features from the raw input.	The deep learning model achieved high accuracy in classifying the images based on the extracted features.|The deep learning approach significantly outperformed traditional machine learning algorithms in the task of natural language processing.
G06.2_2805209921_3	Convolutional Neural Network	Convolutional Neural Network (CNN) D is a type of deep neural network architecture designed for processing structured grid data.	A Convolutional Neural Network (CNN) is a type of deep learning algorithm which can take in an input image, assign importance (learnable weights and biases) to various aspects/objects in the image, and be able to differentiate one from the other.|Convolutional Neural Networks (CNNs) are commonly used for image recognition and classification tasks in deep learning.	The Convolutional Neural Network architecture was used to process the input data and extract relevant features for the subsequent layers.|The Convolutional Neural Network achieved state-of-the-art performance in object detection and localization.
G06.2_2805209921_3	CNN	Convolutional Neural Network (CNN) D is a type of deep neural network architecture designed for processing structured grid data.	Convolutional Neural Networks (CNNs) are a class of deep learning neural networks, most commonly applied to analyzing visual imagery.|CNNs are capable of learning directly from raw images and have been widely used in image and video recognition, recommendation systems, and medical image analysis.	In the research paper, the authors used a CNN architecture to classify the images into different categories based on the extracted features.|The CNN model achieved a high accuracy in identifying objects within the images, demonstrating the effectiveness of the approach.
G06.2_2805209921_4	Kuka LBR iiwa	Kuka LBR iiwa is the first mass-produced sensitive robot.	The Kuka LBR iiwa is a lightweight, sensitive robot designed for human-robot collaboration in industrial settings.|With its 7 degrees of freedom and integrated torque sensors, the Kuka LBR iiwa is capable of performing delicate and precise tasks alongside human workers.	The research team integrated the Kuka LBR iiwa into the assembly line to test the efficiency of human-robot collaboration in a manufacturing environment.|The Kuka LBR iiwa's torque sensors allowed it to react to external forces and adjust its movements accordingly, improving its interaction with human operators.
G06.2_2805209921_6	transfer learning	Transfer learning is a deep learning technique for the training of a deep neural network in which data sets have previously been input and processed.	Transfer learning is a machine learning method where a model developed for a particular task is reused as the starting point for a model on a second task.|In transfer learning, the knowledge gained from solving one problem is applied to a different but related problem.	The study compared the performance of transfer learning models with traditional machine learning models in the context of image recognition.|Transfer learning has been widely used in natural language processing to improve the performance of language models.
G08.1_2806518684_1	blockchain technology	Blockchain technology is a distributed database for safe transactions in which data is stored in blocks linked together via cryptography.	Blockchain technology refers to a decentralized, distributed ledger that records the provenance of a digital asset.|Blockchain technology enables secure, transparent, and tamper-proof record-keeping of transactions across a network of computers.	The company implemented blockchain technology to enhance the security and transparency of its supply chain management.|Blockchain technology has the potential to revolutionize various industries, including finance, healthcare, and logistics.
G08.1_2806518684_1	cryptocurrency	Cryptocurrency is a digital currency that uses cryptography for security and operates on a decentralized network of computers.	Cryptocurrency refers to a digital or virtual currency that uses cryptography for security and operates independently of a central bank. It is decentralized and typically utilizes blockchain technology for secure financial transactions.|Cryptocurrencies are designed to be secure and, in many cases, anonymous. They operate on a technology called blockchain, which is a decentralized technology spread across many computers that manages and records transactions.	The use of cryptocurrency in the dark web has led to concerns about illegal activities such as money laundering and drug trafficking.|Cryptocurrency mining consumes a significant amount of energy, leading to environmental concerns about its sustainability.|The volatility of cryptocurrency prices makes them a subject of debate among economists and financial analysts.|The concept of cryptocurrency has sparked regulatory discussions among government authorities worldwide.
G08.1_2806518684_5	theory of planned behavior	Theory of planned behavior is a psychological theory that links beliefs to behavior.	The theory of planned behavior is a theoretical concept in psychology and behavioral science that predicts deliberate behaviors by considering the individual's attitudes, subjective norms, and perceived behavioral control.|In the theory of planned behavior, behavioral intentions are the most important determinants of behavior, and they are influenced by an individual's attitude toward the behavior, subjective norms, and perceived behavioral control.	The application of the theory of planned behavior in the field of marketing has led to various strategies for influencing consumer behavior.|Researchers have used the theory of planned behavior to study factors influencing pro-environmental behaviors such as recycling and energy conservation.|The theory of planned behavior has been criticized for its limitations in predicting spontaneous or impulsive behaviors.|In the context of healthcare, the theory of planned behavior has been applied to understand patient adherence to medical treatments.
G08.1_2806518684_5	TPB	Theory of planned behavior is a psychological theory that links beliefs to behavior.	The Theory of Planned Behavior (TPB) is a well-established social cognitive theory used to predict and explain human behavior in various domains such as health, marketing, and technology adoption.|TPB is based on the idea that human behavior is guided by behavioral intentions, which are influenced by an individual's attitude, subjective norms, and perceived behavioral control.	Researchers used TPB as a framework to analyze the factors influencing consumers' intention to adopt electric vehicles in a recent study.|In the study on online shopping behavior, the TPB model was employed to investigate the influence of subjective norms on purchase intentions.
G08.1_2806518684_6	e-government	E-government is the usage of information and communication technologies to enhance and streamline the delivery of government services.	E-government refers to the use of electronic communications, the internet, and other digital technologies by government agencies to provide public services to citizens, businesses, and other government entities.|The implementation of e-government aims to improve the efficiency, transparency, and accessibility of government services and information.	The e-government initiative has been a key focus area for policymakers in developing countries to enhance public service delivery and governance.|The impact of e-government on citizen participation and trust in government institutions has been a subject of extensive research in political science and public administration.
M8_40_2	hypertrophic response	Hypertrophic response is the physiological process by which muscle fibers increase in size.	The hypertrophic response refers to the increase in cell size, leading to the growth of tissues or organs. It is often associated with the overloading of mechanical stress or specific signaling pathways within the cells.|Hypertrophic response is a biological reaction characterized by the enlargement of individual cells, leading to an increase in the size of the affected tissue or organ.	In the study, we observed the activation of several genes related to the hypertrophic response in the muscle cells, indicating a potential role of these genes in the process.|The hypertrophic response was found to be significantly altered in the presence of the specific chemical compound, suggesting a potential mechanism for modulating this biological process.
M7_39_1	Hypertrophic response	Hypertrophy is the increase in muscle fiber cross sectional area that is accompanied by an increase in muscle volume and mass.	The hypertrophic response refers to the increase in cell size, leading to the growth of tissues or organs. It is often associated with the overloading of mechanical stress or specific signaling pathways within the cells.|Hypertrophic response is a biological reaction characterized by the enlargement of individual cells, leading to an increase in the size of the affected tissue or organ.	In the study, we observed the activation of several genes related to the hypertrophic response in the muscle cells, indicating a potential role of these genes in the process.|The hypertrophic response was found to be significantly altered in the presence of the specific chemical compound, suggesting a potential mechanism for modulating this biological process.
M8_40_3	muscle hypertrophy	Muscle hypertrophy is the increase in the size or cross-sectional area of muscle cells.	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M10_42_1	muscle hypertrophy	Increase, growth in muscle cells.	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M11_43_1	muscle hypertrophy	Increase, growth in muscle cells.	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M16_48_1	muscle hypertrophy	process of increasing the size of muscle cells.	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M7_39_5	Muscle hypertrophy	Muscular hypertrophy or muscle  growth, refers to an increase in muscle mass	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M9_41_7	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M13_45_2	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M13_45_3	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M13_45_7	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M14_46_5	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M14_46_7	Muscle hypertrophy	muscle hypertrophy is a considerable increase in the size of muscles, caused by enlargement of its cellular components	Muscle hypertrophy is the process of muscle tissue growth and enlargement, often in response to strength training or resistance exercises. It involves an increase in the size of individual muscle fibers, leading to an overall increase in muscle mass and strength.|The phenomenon of muscle hypertrophy occurs when the rate of muscle protein synthesis exceeds the rate of muscle protein breakdown, resulting in a net gain of muscle protein over time.	The study aimed to investigate the effects of a specific dietary supplement on muscle hypertrophy in athletes, focusing on the changes in muscle fiber composition and contractile properties.|The observed changes in muscle hypertrophy were attributed to the altered expression of certain genes associated with muscle growth and regeneration, indicating a potential molecular mechanism.
M12_44_2	skeletal muscle hypertrophy	Skeletal muscle hypertrophy is the increase in the size or cross-sectional area of skeletal muscle cells.	Skeletal muscle hypertrophy refers to the increase in the size of skeletal muscle fibers through resistance training or other forms of physical activity.|In the context of bodybuilding, skeletal muscle hypertrophy is a key goal that many athletes aim to achieve through specific training programs and nutrition plans.	Studies have shown that skeletal muscle hypertrophy can be influenced by various genetic factors, including the expression of certain myogenic regulatory factors.|The process of skeletal muscle hypertrophy is often associated with an increase in the cross-sectional area of muscle fibers, leading to enhanced strength and power.
M12_44_3	exercise-countermeasures	Exercise-countermeasures are training techniques that aim at limiting detrimental changes and physiological deconditioning of the musculoskeletal and cardiovascular systems.	Exercise-countermeasures involve the use of physical activity and conditioning strategies to mitigate the negative effects of prolonged bed rest or microgravity on the human body.|In the field of aerospace engineering, exercise-countermeasures are essential for maintaining the physical health and performance of astronauts during extended space missions.	Research on exercise-countermeasures has highlighted the importance of tailored exercise protocols to address specific physiological changes associated with spaceflight, such as bone demineralization and muscle atrophy.|The development of advanced exercise-countermeasures aims to optimize the effectiveness of countermeasures in preventing cardiovascular deconditioning in astronauts.
G06.2_835365303_1	trading system	A trading system is a set of rules and parameters related to buying and selling in the financial markets.	A trading system refers to the set of rules and parameters that determine the entry and exit points for trading financial assets. It can be automated or manual, and it is designed to generate trading signals.|In algorithmic trading, a trading system uses mathematical models and algorithms to execute orders based on predefined criteria such as price, volume, or other indicators.	The efficiency of the trading system is crucial for ensuring timely execution of trades and minimizing market impact.|Risk management is an essential component of any trading system, especially in volatile market conditions.|The trading system was affected by a sudden surge in trading volume, leading to delays in order processing.|Regulatory changes can have a significant impact on the functionality and performance of a trading system.
